nct_id,phase,why_stopped,start_date,category,phase_clean
NCT02204371,PHASE2,The study was terminated as the asset was sold to another company who decided not to pursue this indication with this drug.,2015-02-25,unknown,PHASE2
NCT05398263,PHASE3,"The study was discontinued due to slow recruitment, resulting from evolving clinical practices that reduced the use of maintenance oral corticosteroids for severe asthma treatment. The termination decision was not related to safety concerns.",2022-08-09,safety,PHASE3
NCT03959384,PHASE3,"Due to COVID19 hospital admissions by patients with moderate-severe bronchiolitis have drastically decreased from 02/2020 to date. Moreover, many centers that had initially joined the study project had great difficulties in the activation phase",2019-01-09,enrollment,PHASE3
NCT03042312,PHASE2,Recruitment was stopped before the target sample size was achieved.,2017-07-12,enrollment,PHASE2
NCT05079230,PHASE3,Study was terminated due to futility,2022-07-07,unknown,PHASE3
NCT02740114,PHASE3,Per PIs request,2016-08-31,unknown,PHASE3
NCT03029104,PHASE2,Sufficient clinical results obtained to support study endpoints.,2016-12-21,unknown,PHASE2
NCT03579966,PHASE3,Lack of measure appropriate data (MG-ADL).,2018-06-11,unknown,PHASE3
NCT02412631,"PHASE2, PHASE3",Lorcaserin removed from market,2016-06-15,unknown,PHASE3
NCT05960565,PHASE2,No sign of the anticipated effect.,2023-12-22,unknown,PHASE2
NCT03403205,PHASE3,Sponsor decision to terminate the program,2018-02-22,strategy/business,PHASE3
NCT02589145,"PHASE1, PHASE2",Closed due to very slow accrual,2016-06-22,unknown,PHASE2
NCT02112045,PHASE2,Terminated due to results of interim analysis,2015-01-20,unknown,PHASE2
NCT03289039,PHASE2,Slow accrual,2017-10-25,unknown,PHASE2
NCT03870841,PHASE2,The study is being terminated early as a result of the coronavirus (COVID-19) outbreak.,2019-04-03,unknown,PHASE2
NCT05260541,PHASE2,No longer developing for this indication,2022-01-25,unknown,PHASE2
NCT06276556,"PHASE2, PHASE3","For business consideration, a new long-term safety study will be conducted in the next new pivotal studies.",2024-04-22,safety,PHASE3
NCT04126031,PHASE2,"Following regulatory consultation, the Sponsor has decided to terminate the study and analyze the current dataset. The decision to terminate was solely based on a business decision, not due to safety concerns.",2020-01-14,safety,PHASE2
NCT04978337,PHASE2,Janssen made the strategic decision to discontinue the PRIMROSE study. This decision is not based on any safety concerns.,2021-11-17,safety,PHASE2
NCT05067777,PHASE2,Lack of Funding,2022-06-17,unknown,PHASE2
NCT04475601,PHASE2,"By sponsor, based on DSMB recommendations",2020-07-15,unknown,PHASE2
NCT02236936,PHASE3,Study stopped due to low recruitment,2017-02-03,enrollment,PHASE3
NCT02992756,PHASE3,Due to the difficulty in meeting the selection criteria by preventing continued recruitment to the trial. This has made recruitment more difficult and has prolonged the recruitment time to more than two years from the initially planned end of study,2021-06-29,enrollment,PHASE3
NCT02067741,PHASE2,"The SAKK board decided to prematurely end the life-long follow-up of the trial SAKK 21/12, as 90% of the patients have died.",2016-06-14,enrollment,PHASE2
NCT03926156,PHASE3,COVID-19 has impacted our study recruitment,2019-05-22,enrollment,PHASE3
NCT03043651,PHASE3,Terminated by Sponsor,2018-01-30,unknown,PHASE3
NCT02664753,PHASE3,"Exposure to serious adverse events related to the research (i.e., death), the mnts = 54% versus 58 deaths out of 121 patients = 48%).onitoring committee unanimously recommended discontinuation of the trial.",2018-03-05,safety,PHASE3
NCT05036681,PHASE2,PI request,2021-09-30,unknown,PHASE2
NCT04268277,PHASE2,"Due to slow recruitment caused by the COVID-19 pandemic and associated retrictions and the authorization of zanubrutinib. Additionally, many competing trials promising higher efficacy have been started in the meantime.",2022-03-01,efficacy,PHASE2
NCT03447730,"PHASE1, PHASE2",Interim futility analyses identified a lack of SYNB1020 efficacy.,2018-03-19,efficacy,PHASE2
NCT03447769,PHASE3,"Upon review of the primary analysis results, the benefit-risk was assessed by the Steering Committee Members with the decision that the study will be closed. No new safety signals were observed for canakinumab.",2018-03-16,safety,PHASE3
NCT03736629,PHASE2,"Inability to accrue patients, particularly after COVID pandemic.",2019-02-01,enrollment,PHASE2
NCT03648372,"PHASE1, PHASE2",Enrolment Challenges,2018-10-01,unknown,PHASE2
NCT02514967,PHASE3,Study halted prematurely and will not resume. Subjects were seen until February 2017,Jun-16,unknown,PHASE3
NCT02428231,PHASE3,Sponsor decision,Apr-15,strategy/business,PHASE3
NCT02864953,PHASE3,"Early completed to operational challenges and other strategic considerations, not for efficacy or safety reasons",2018-08-29,efficacy,PHASE3
NCT05470075,PHASE2,The sponsor's R\&D strategy is adjusted.,2022-08-11,strategy/business,PHASE2
NCT02737930,PHASE2,Slow recruitment and lack of funding to expand to other sites.,May-16,enrollment,PHASE2
NCT04398134,PHASE2,Study stopped due to a safety signal of drug-induced liver injury in subjects receiving 2158,2020-08-28,safety,PHASE2
NCT05357898,"PHASE1, PHASE2",Corporate Decision,2022-03-24,unknown,PHASE2
