nct_id,phase,why_stopped,start_date,category,phase_clean
NCT03387046,PHASE2,Study was terminated early due to slow recruitment rate.,2018-03-26,enrollment,PHASE2
NCT04449588,"PHASE2, PHASE3","Due to the COVID-19 epidemic situation, the sponsor has decided to terminate the project.",2020-07-23,unknown,PHASE3
NCT03254927,PHASE2,Sponsor decision based on emerging risk-benefit profile,2018-03-27,strategy/business,PHASE2
NCT02769169,"PHASE2, PHASE3",study protocol changed,2018-08-01,operational,PHASE3
NCT03333083,PHASE3,The reason for the premature termination was the failure to reach the required number of participants.,2018-05-03,unknown,PHASE3
NCT02346422,"PHASE1, PHASE2",Sponsor has suspended clinical development of MYDICAR for heart failure.,Apr-15,unknown,PHASE2
NCT04871529,PHASE2,inability to accrue sufficient patients,2022-08-10,enrollment,PHASE2
NCT04680637,PHASE2,The trial was terminated prematurely as it met pre-defined criteria for futility at IA3.,2021-05-06,unknown,PHASE2
NCT03622775,PHASE2,\<75% participation,2019-04-11,unknown,PHASE2
NCT03506373,PHASE2,Discontinued after interim analysis for futility; no treatment successes observed in the first 12 patients,2018-08-14,enrollment,PHASE2
NCT04029545,PHASE3,The study was placed on hold for the FDA review of revisions of the protocol. Review time resulted in roll-over subjects to be out of window for enrollment.,2019-06-14,enrollment,PHASE3
NCT03284957,"PHASE1, PHASE2","Sponsor decision to prematurely stop the study, not linked to any safety concern.",2017-09-20,safety,PHASE2
NCT04577001,PHASE2,Low Recruitment Numbers,2021-02-18,enrollment,PHASE2
NCT05292196,PHASE2,Per sponsor request. Closure was not prompted by any safety or efficacy concerns.,2022-05-20,efficacy,PHASE2
NCT04410354,PHASE2,Failure to meet primary endpoint,2020-06-16,unknown,PHASE2
NCT02530437,"PHASE1, PHASE2",The sponsor sold the drug TALADEGIB to another company during the trial and thereafter no drug was available. The sponsor made a decision to stop development of this drug Taladegib.,2017-03-07,unknown,PHASE2
NCT05181995,"PHASE2, PHASE3",company decision,2021-12-13,strategy/business,PHASE3
NCT04415073,PHASE2,"Given enrollment challenges, partly attributable to the constantly changing COVID-19 treatment landscape, the trial has been closed.",2020-05-30,enrollment,PHASE2
NCT04251169,PHASE2,The enrollment was stopped prematurely due to the lack of funding,2020-07-21,enrollment,PHASE2
NCT05563272,PHASE2,"Indication scouting for TLX250-CDx will continue in theranostic studies, with a therapeutic component in the study design.",2023-06-06,unknown,PHASE2
NCT03657095,PHASE3,"The pivotal study, BPS-314d-MR-PAH-302 (NCT01908699), failed to demonstrate efficacy.",2018-12-10,efficacy,PHASE3
NCT02651675,"PHASE1, PHASE2",Terminated by Sponsor for Business Reasons,Mar-16,strategy/business,PHASE2
NCT06061081,PHASE2,Sponsor decision,2023-12-21,strategy/business,PHASE2
NCT03712930,PHASE2,Sponsor's decision to revisit the development approach for prostate cancer.,2019-02-05,unknown,PHASE2
NCT03181828,"PHASE1, PHASE2",The incidence of AEs was higher than the IB reported.,2017-03-24,unknown,PHASE2
NCT03993379,PHASE2,Sponsor's Decision,2019-11-20,unknown,PHASE2
NCT02657005,"PHASE1, PHASE2",Sponsor Decision,Aug-16,strategy/business,PHASE2
NCT03316222,"PHASE1, PHASE2","only phase 1b was completed and the phase 2 will be an another study, finally",2018-04-04,unknown,PHASE2
NCT04476329,PHASE2,"Enrollment rate not sufficient to meet funding entity's corporation timeline expectations, entity terminated study's fiscal support. Termination decision was purely administrative in nature and did not involve drug or patient safety issues.",2021-01-21,safety,PHASE2
NCT05005182,PHASE2,Slow accrual,2023-02-20,unknown,PHASE2
NCT03807479,PHASE2,less recruting,2018-12-11,unknown,PHASE2
NCT05760703,PHASE2,"The preliminary effectiveness data observed at present did not meet the expectations, the benefit of the subjects receiving the experimental drug was limited.",2023-04-25,unknown,PHASE2
NCT05397470,PHASE3,Sponsor Decision,2022-06-16,strategy/business,PHASE3
NCT03949673,PHASE2,Lack of enrollment,2019-04-08,enrollment,PHASE2
NCT03746054,PHASE3,Inclusions stopped on 25MAR2022 due to lack of inclusion Last follow-up on 16APR2024,2019-12-20,unknown,PHASE3
NCT05038020,PHASE2,Study terminated due to safety findings in other AKST4290 studies,2021-08-17,safety,PHASE2
NCT02811159,PHASE2,Business decision,2016-07-26,strategy/business,PHASE2
NCT04947579,PHASE2,The study has been terminated due to Non-Safety reasons because of lack of efficacy in the short-term acute phase.,2021-08-25,efficacy,PHASE2
NCT02811679,PHASE2,Study closed early due to slow accrual,Aug-16,unknown,PHASE2
NCT05657496,"PHASE1, PHASE2",Principal Investigator is Retiring.,2022-12-28,unknown,PHASE2
NCT04344288,PHASE2,Competent Authority's decision,2020-04-21,unknown,PHASE2
NCT02859727,"PHASE2, PHASE3",All participant have transitioned to commercial product or compassionate use.,2016-09-08,unknown,PHASE3
NCT04592861,PHASE3,Study administratively closed out by the Einstein IRB. NO US enrolling sites.,2020-11-01,enrollment,PHASE3
NCT02533570,PHASE2,Sponsor decision based on portfolio prioritization,Jul-15,strategy/business,PHASE2
NCT03693105,"PHASE2, PHASE3",Funding discontinued.,2024-06-30,unknown,PHASE3
NCT02849951,PHASE3,LT-02 did not appear to help induce remission of UC,Jul-16,unknown,PHASE3
NCT03711929,PHASE3,Business decision,2018-11-19,strategy/business,PHASE3
NCT02317783,PHASE2,Enrollment challenges,2018-01-31,enrollment,PHASE2
NCT02352831,"PHASE1, PHASE2",Insufficient funding and drug supply from manufacturer,2015-08-31,unknown,PHASE2
NCT02760602,PHASE3,Insufficient scientific evidence that solanezumab would likely demonstrate a meaningful benefit to participants with prodromal AD as defined by study protocol.,Jun-16,operational,PHASE3
NCT05679401,PHASE3,"Company decision, not due to any safety reason.",2022-12-22,safety,PHASE3
NCT06341712,PHASE2,The sponsor has decided to terminate the CabOSTar study due to ongoing recruitment challenges,2024-11-22,enrollment,PHASE2
NCT05760781,PHASE2,"The preliminary effectiveness data observed at present did not meet the expectations, the benefit of the subjects receiving the experimental drug was limited.",2023-04-25,unknown,PHASE2
NCT03970330,PHASE3,"Original PI left institution, lack of funding to continue",2020-01-16,unknown,PHASE3
NCT03232892,PHASE2,Low Accrual,2018-02-13,unknown,PHASE2
NCT03827213,PHASE2,Ran out of medication,2019-01-22,unknown,PHASE2
NCT02759120,PHASE3,Terminated for futility after review of first planned interim analysis.,2017-03-22,unknown,PHASE3
NCT02613182,PHASE2,NEOD001 program terminated due to lack of clinical benefit,Feb-16,unknown,PHASE2
NCT04641962,PHASE2,Due to failure to meet the pre-specified criteria for efficacy,2021-05-24,efficacy,PHASE2
NCT02685046,PHASE2,Low accrual rate,Apr-16,unknown,PHASE2
NCT02974803,PHASE2,Very slow accrual,2018-02-09,unknown,PHASE2
NCT03202186,PHASE3,Inability to recruit subjects,2017-08-01,enrollment,PHASE3
NCT04410042,PHASE3,Per sponsor,2021-01-29,unknown,PHASE3
NCT03407170,PHASE2,Lack of Accrual,2018-06-28,unknown,PHASE2
NCT05418673,PHASE3,Sponsor Decision,2022-08-26,strategy/business,PHASE3
NCT01952054,PHASE2,,2015-02-09,unknown,PHASE2
NCT03178201,PHASE2,PI left institution,2017-08-20,unknown,PHASE2
NCT04714619,PHASE2,Sponsor decision,2021-05-06,strategy/business,PHASE2
NCT02468414,PHASE2,No statistical analysis was performed as only one subject was treated with MDGN201 TARGTEPO due to the Sponsor's decision to discontinue study.,Jun-15,unknown,PHASE2
NCT03714555,PHASE2,Study was closed due to low subject enrollment at site.,2019-10-17,enrollment,PHASE2
NCT04543955,PHASE2,Sponsor cancelled research,2021-09-13,unknown,PHASE2
NCT03903640,PHASE2,The study was terminated early on 03/09/2022 due to low accrual during the COVID-19 pandemic.,2019-10-14,unknown,PHASE2
NCT02633540,PHASE2,Slow accrual,2015-11-16,unknown,PHASE2
NCT02855268,PHASE2,The results of the futility analysis led to the study termination. No unexpected safety findings were identified.,2019-11-02,safety,PHASE2
NCT06408168,PHASE2,\<75% Participation,2024-08-08,unknown,PHASE2
NCT04969991,PHASE2,"Part 2 of the study was paused on 03-May-2022 due to slow enrollment following low infection rates and hospitalizations of patients with severe COVID-19, and did not recommence prior to study closure (early termination) on 22-Nov-2022.",2021-06-30,enrollment,PHASE2
NCT05261490,"PHASE1, PHASE2",A business decision was made by Pfizer to terminate and remove the Phase 2 expansion of this study for administrative reasons. The reason for study termination is not due to any safety concerns or requests from regulatory authorities.,2022-08-01,safety,PHASE2
NCT05246280,PHASE3,Sponsor Decision,2022-03-02,strategy/business,PHASE3
NCT04437368,PHASE2,Terminated for interim analysis demonstrating futility (trial highly unlikely to meet efficacy outcome). The trial is not ending early because of medical problems or concerns.,2019-04-26,efficacy,PHASE2
NCT03241810,PHASE2,Merrimack Inc. terminated the trial early due to business decision,2017-08-15,strategy/business,PHASE2
NCT02404220,"PHASE1, PHASE2",,2015-05-06,unknown,PHASE2
NCT02622724,PHASE3,Day 90 results indicate IMP did not reduce mortality or ventilator free days,2015-12-23,unknown,PHASE3
NCT02973269,PHASE2,New trial with same indication initiated,2016-11-14,unknown,PHASE2
NCT05438498,PHASE3,FDA withdrew EUA for AZD7442,2022-06-03,unknown,PHASE3
NCT02277093,PHASE2,FDA issued a clinical hold as pacritinib had increased side effects,2015-09-22,unknown,PHASE2
NCT02556593,PHASE2,,Sep-15,unknown,PHASE2
NCT03369587,PHASE2,Not feasible to restarted after Covid pandemic - analysis will be on data collected before study suspended,2017-11-02,unknown,PHASE2
NCT05516498,PHASE2,The study was ended earlier than planned due to a sponsor decision.,2022-10-31,strategy/business,PHASE2
NCT03879798,"PHASE1, PHASE2",Due to DLTs,2019-03-15,unknown,PHASE2
NCT03976076,PHASE2,Difficulty with patient recruitment due to COVID-19,2020-04-15,enrollment,PHASE2
NCT03138889,"PHASE1, PHASE2",Sponsor decision,2017-06-09,strategy/business,PHASE2
NCT03720418,"PHASE1, PHASE2","As a result of termination of development of OXB-102-01, it is no longer possible for Sio to either commence or to continue any related clinical trials.",2018-10-17,unknown,PHASE2
NCT03229382,PHASE2,Very slow recruitment due to lack of relapse in the observed group of patients,2018-05-14,enrollment,PHASE2
NCT04261023,PHASE2,"The CI terminated ARCADIA early due to a number of reasons. These include the difficulty in recruiting and being placed on pause during the COVID pandemic, plus limited staffing at that time \& the need to considerably amend the eCRF MACRO system",2020-02-24,enrollment,PHASE2
NCT03739983,PHASE2,slow accrual as a result of COVID-19,2019-11-19,unknown,PHASE2
NCT03323866,PHASE3,Difficulty with recruitment,2017-05-01,enrollment,PHASE3
NCT02569398,"PHASE2, PHASE3",Change in benefit-risk profile for individuals with early sporadic Alzheimer Disease because of elevations in liver enzymes in subjects receiving atabecestat,2015-10-29,unknown,PHASE3
NCT02557516,"PHASE1, PHASE2",Sponsor decision,2015-11-09,strategy/business,PHASE2
NCT05430555,"PHASE1, PHASE2",Sponsor decision.,2022-07-29,strategy/business,PHASE2
NCT05139615,PHASE2,Business decision,2021-12-28,strategy/business,PHASE2
NCT04868890,PHASE2,The AP-019 study was prematurely terminated by the sponsor after determining that insufficient events were occurring to analyze the primary endpoint.,2021-06-22,unknown,PHASE2
NCT03926624,PHASE3,The data met the protocol-specified criteria for futility of the investigational treatment.,2019-11-22,operational,PHASE3
NCT03582618,PHASE2,The study has been terminated due to slow enrollment,2018-07-12,enrollment,PHASE2
NCT04776018,"PHASE1, PHASE2",Business Reasons,2021-04-20,strategy/business,PHASE2
NCT03123588,PHASE2,Enrollment issues,2017-11-14,enrollment,PHASE2
NCT04794803,"PHASE2, PHASE3",The sponsor has decided to start with a separate protocol for phase 3 and therefore this study was terminated with only phase 2.,2020-05-05,operational,PHASE3
NCT02984085,"PHASE1, PHASE2",Replaced by new study in progress,2017-01-30,unknown,PHASE2
NCT04814368,PHASE2,Sponsor Decision,2021-08-27,strategy/business,PHASE2
NCT05658874,PHASE3,unable to reach the recruitment numbers required to power our primary outcome,2022-12-06,enrollment,PHASE3
NCT02730962,PHASE2,Delays in IND approval caused a lack of funding to conduct the trial.,Jun-16,unknown,PHASE2
NCT04650282,PHASE2,Reassignment of PI to more intense clinical obligations prevents continuation of the trial.,2021-03-18,unknown,PHASE2
NCT05288062,PHASE2,slow accrual,2022-06-15,unknown,PHASE2
NCT03251326,"PHASE1, PHASE2",Recruitment difficulties,Oct-15,enrollment,PHASE2
NCT03527043,PHASE2,funding stopped,2017-10-01,unknown,PHASE2
NCT06186076,"PHASE1, PHASE2",Sponsor's decision,2024-06-14,unknown,PHASE2
NCT02337517,PHASE2,,2015-09-08,unknown,PHASE2
NCT04853368,PHASE2,Strategic considerations,2021-09-20,unknown,PHASE2
NCT04160468,PHASE3,The independent DSMB recommended that the study be stopped for futility following interim efficacy analysis.,2019-12-20,efficacy,PHASE3
NCT02718391,PHASE2,The randomization to the observational arm of the trial was no longer ethical,Aug-15,unknown,PHASE2
NCT04158674,PHASE3,There was insufficient funding to continue the study in good conditions.,2020-02-24,unknown,PHASE3
NCT04356690,PHASE2,"Slow accrual, change in COVID prevalence, availability of effective vaccine",2020-05-08,unknown,PHASE2
NCT05157360,"PHASE1, PHASE2",slow recruitment and not anticipated to meet recruitment numbers,2021-09-10,enrollment,PHASE2
NCT02844582,PHASE2,Poor accrual of subjects onto study,2017-12-20,unknown,PHASE2
NCT03024996,PHASE3,"The sponsor decided to terminate this study before the protocol-defined end-of-study, as permitted per protocol.",2017-01-03,operational,PHASE3
NCT03202446,PHASE3,,2016-06-13,unknown,PHASE3
NCT02920242,PHASE3,Terminated due to low enrollment,2016-12-15,enrollment,PHASE3
NCT03563742,PHASE3,High SF rate (less treatment-naïve subjects \& subjects with viral load \<100000). Reevaluation in scientific position in India after internal discussion.,2018-09-24,unknown,PHASE3
NCT03364686,PHASE2,Due to enrollment challenges related to COVID and lack of coordinator support,2019-09-16,enrollment,PHASE2
NCT03711162,PHASE3,The benefit-risk profile no longer supports continuing the study,2018-11-28,unknown,PHASE3
NCT05550662,PHASE2,Recruitment challenges,2024-02-07,enrollment,PHASE2
NCT05017246,PHASE2,Low accrual,2022-01-18,unknown,PHASE2
NCT03075527,PHASE2,Criteria not met for second stage at time of interim analysis,2017-04-10,unknown,PHASE2
NCT02913105,PHASE2,,2016-10-24,unknown,PHASE2
NCT05591222,PHASE2,"Sponsor business decision, not related to safety concerns.",2022-12-29,safety,PHASE2
NCT03339622,PHASE3,Mycotoxin potential contamination of one lot of study drug,2018-03-29,unknown,PHASE3
NCT04359329,PHASE2,Poor accrual,2020-04-20,unknown,PHASE2
NCT02982395,PHASE3,,Jan-17,unknown,PHASE3
NCT03192995,PHASE2,FDA alert regarding study drug safety,2018-01-01,safety,PHASE2
NCT03066739,PHASE2,Study terminated early due to low enrollment. Only 8 participants enrolled out of the target 105.,2023-02-25,enrollment,PHASE2
NCT03279731,PHASE3,The study was not meeting recruitment goals.,2017-09-29,enrollment,PHASE3
NCT04405102,PHASE2,"Screening was stopped by the Sponsor (43/48 participants enrolled), given the very low number of eligible patients (high vaccination rate and occurrence of the Omicron variant). The last patient randomized performed his follow-up visit.",2020-09-16,enrollment,PHASE2
NCT04097301,"PHASE1, PHASE2",Inability to close the study in a clinically relevant time frame,2019-08-27,unknown,PHASE2
NCT04130919,PHASE2,Sponsor terminated the study since a new molecular entity was able to achieve greater target coverage,2019-12-20,unknown,PHASE2
NCT04842292,PHASE2,Lack of enrollment,2021-05-20,enrollment,PHASE2
NCT02538471,PHASE2,The study was terminated due to lack of patient accrual.,2015-08-10,enrollment,PHASE2
NCT05370599,PHASE2,Funding limitations.,2022-04-15,unknown,PHASE2
NCT02351869,PHASE2,This study was terminated due to COVID-19 pandemic-related halting of recruitment in the context of an upcoming replacement of the study MRI scanner.,Aug-15,enrollment,PHASE2
NCT03794583,PHASE3,Sponsor's decision,2018-12-21,unknown,PHASE3
NCT04470622,PHASE2,"Study was terminated early by Heron, and was not terminated for safety reasons.",2020-07-20,safety,PHASE2
NCT04361253,PHASE3,Futility,2020-04-30,unknown,PHASE3
NCT03575572,"PHASE2, PHASE3",Staffing changes impacted by COVID-19 pandemic resulting in inadequate personnel to facilitate study.,2018-08-29,unknown,PHASE3
NCT07166367,PHASE2,Difficulty in enrolling patients with the illness under study.,2016-08-11,enrollment,PHASE2
NCT04614467,PHASE2,Sponsor decision,2020-10-29,strategy/business,PHASE2
NCT03364075,PHASE2,Recruitment issue,2017-09-01,enrollment,PHASE2
NCT03822936,PHASE2,The study was early closed due to low accrual in August 2022.,2018-02-08,unknown,PHASE2
NCT02963064,"PHASE1, PHASE2",Sponsor Decision - terminated due to changes in company priorities and not related to safety concerns.,2017-03-20,safety,PHASE2
NCT04832854,PHASE2,Study was terminated as data became available from Phase 3 trials of perioperative regimens combining chemotherapy with immunotherapy showing improved efficacy outcomes versus chemotherapy alone.,2021-04-23,efficacy,PHASE2
NCT06536465,PHASE2,Study was terminated due to sponsor decision. This decision was not related to safety concerns.,2024-10-14,safety,PHASE2
NCT03728465,PHASE2,Lack of patients,2018-04-10,enrollment,PHASE2
NCT02810951,"PHASE1, PHASE2",Subjects were all in Long-Term Follow Up and were transferred to the ongoing EB-002 study,2016-07-01,unknown,PHASE2
NCT03578029,PHASE2,Business Decision,2019-05-22,strategy/business,PHASE2
NCT04220775,"PHASE1, PHASE2",The sponsor decided to no longer develop the drug and stop support of studies using the drug.,2020-03-18,unknown,PHASE2
NCT03705507,"PHASE1, PHASE2","Poor recruitment, due to a change in the standard of care for this patient population with the use of CAR-T cells",2018-05-18,enrollment,PHASE2
NCT03339336,PHASE2,Sponsor decision to close study early; not due to safety concerns,2018-05-31,safety,PHASE2
NCT05086744,PHASE2,Business decision,2021-12-21,strategy/business,PHASE2
NCT05568017,PHASE2,"Difficulty in recruiting patients also due to the pandemic period, presence of competitive studies.",2020-09-15,enrollment,PHASE2
NCT03265717,PHASE2,sponsor decision,2018-07-25,strategy/business,PHASE2
NCT06321068,"PHASE2, PHASE3","Due to the adjustment of our company's research and development strategy, we are now prematurely terminating this project.",2024-04-09,strategy/business,PHASE3
NCT03101982,PHASE2,less of patients enrolled,2017-04-18,enrollment,PHASE2
NCT02829723,"PHASE1, PHASE2",,2016-10-21,unknown,PHASE2
NCT05218096,PHASE2,Sponsor decision,2022-04-27,strategy/business,PHASE2
NCT03605069,"PHASE1, PHASE2",Low enrollment,2018-07-02,enrollment,PHASE2
NCT02935543,PHASE2,Study is terminated because of administrative reasons.,Oct-16,unknown,PHASE2
NCT04700176,PHASE2,Low Accrual,2022-05-02,unknown,PHASE2
NCT06515418,PHASE2,Dosing of both study drugs has been discontinued due to observation of liver transaminitis without clinically significant symptoms in some subjects receiving azelaprag. All participant visits have been completed.,2024-06-27,unknown,PHASE2
NCT03195010,PHASE2,Terminated because of slow recruitment and lack of funding support,2017-06-09,enrollment,PHASE2
NCT02477813,PHASE2,Lack of eligible patient recruitment,Jan-15,enrollment,PHASE2
NCT03286582,PHASE2,Terminated with partial enrollment completed,2017-09-05,enrollment,PHASE2
NCT04319224,"PHASE1, PHASE2",Sponsor decision to discontinue providing study drug to patients who have been on study treatment for more than two years,2020-03-10,enrollment,PHASE2
NCT04252859,PHASE2,PI is leaving the institution.,2020-12-11,unknown,PHASE2
NCT03102827,PHASE3,Unavailability of PI and Deputy,2017-02-02,unknown,PHASE3
NCT02421861,PHASE2,,Apr-15,unknown,PHASE2
NCT02651272,PHASE2,Unable to enroll IRB approved sample of participants.,Jul-15,enrollment,PHASE2
NCT03029000,PHASE3,Study was terminated due to low enrollment,2017-08-02,enrollment,PHASE3
NCT04708834,PHASE3,Sponsor Decision,2021-03-30,strategy/business,PHASE3
NCT04517864,PHASE2,For business reasons,2020-09-15,strategy/business,PHASE2
NCT05492045,"PHASE1, PHASE2",Adjustment of drug development strategy.,2022-09-13,strategy/business,PHASE2
NCT03837457,PHASE2,Study no longer needed because eligible subjects may receive treatment with cobomarsen in a crossover arm of the SOLAR clinical trial (NCT03713320),2019-10-01,unknown,PHASE2
NCT03343600,PHASE2,The trial is terminated due to the extremely low recruitment rate.,2017-11-09,enrollment,PHASE2
NCT03560518,PHASE3,Business decision to stop the program.,2018-06-15,strategy/business,PHASE3
NCT03785691,PHASE2,Recruiting difficulties,2019-03-01,enrollment,PHASE2
NCT03053050,PHASE3,This study was terminated early due to lack of efficacy based on the results of the Week 48 analysis as prespecified in the clinical study protocol.,2017-02-13,efficacy,PHASE3
NCT02908490,PHASE2,"Slow recruitment, lack of continued funding",2017-04-01,enrollment,PHASE2
NCT03325296,PHASE2,Futility,2017-10-30,unknown,PHASE2
NCT04707703,PHASE3,Participant enrollment challenges,2021-03-16,enrollment,PHASE3
NCT05691829,PHASE2,Terminated due to insufficient enrollment.,2023-01-24,enrollment,PHASE2
NCT03045302,PHASE2,Early termination is a sponsor decision. No new safety signal or serious adverse event has been observed.,2017-01-26,safety,PHASE2
NCT05630937,"PHASE1, PHASE2","In the Phase II part of the study, among the participants evaluable for efficacy, no objective (partial response or clinical response) was observed at the first futility analysis.",2020-11-13,efficacy,PHASE2
NCT04303572,PHASE3,"The INHIBIT Trials IDSMB, in a letter dated 05-18-22, recommended, given the slow enrollment, that the INHIBIT Trials be discontinued due to futility.",2021-11-01,enrollment,PHASE3
NCT02642939,PHASE2,Lack of enrollment,Dec-15,enrollment,PHASE2
NCT04496726,PHASE2,Failure to recruit,2021-01-01,enrollment,PHASE2
NCT03628079,"PHASE1, PHASE2",Lack of effect,2018-05-25,efficacy,PHASE2
NCT04800562,PHASE2,lack of enrollment of this ultra rare disease,2021-04-12,enrollment,PHASE2
NCT02359162,PHASE3,The study is out of date,May-15,unknown,PHASE3
NCT02406027,PHASE2,,2015-07-02,unknown,PHASE2
NCT04720261,PHASE2,Recommendations of the independent oversight committee.,2021-04-26,unknown,PHASE2
NCT04083170,PHASE2,"The federal funding period ended. The study was originally intended to be multi-site but was only conducted at the lead site. Due to the rarity of the subject population \& smaller # of enrolling sites, we were not able to reach accrual goals.",2022-10-06,enrollment,PHASE2
NCT03862170,PHASE3,Covid-19 pandemic,2015-02-10,unknown,PHASE3
NCT03960541,PHASE2,Business Reasons,2020-08-31,strategy/business,PHASE2
NCT03442556,PHASE2,Terminated due to insufficient funding,2018-08-24,unknown,PHASE2
NCT05478031,PHASE2,Due to the event of repeated elevated transaminase levels in one subject - elevated ALT/AST up to 6x ULN in the absence of any other potential underlying cause - we have decided to terminate the study.,2022-06-07,unknown,PHASE2
NCT04488575,PHASE2,Insufficient study defined patient population,2020-08-26,enrollment,PHASE2
NCT03008512,PHASE2,Poor accrual,Oct-16,unknown,PHASE2
NCT04240886,PHASE2,"The Sponsor made a strategic decision to terminate the study, in order to prioritize a randomized comparative Phase 3 trial in the same indication. This decision was not based on any safety concerns",2020-01-04,safety,PHASE2
NCT04461886,PHASE3,Sponsor decision,2020-07-08,strategy/business,PHASE3
NCT02811783,PHASE3,Sponsor decision,Jan-17,strategy/business,PHASE3
NCT05220722,"PHASE1, PHASE2",The decision was made to terminate the study after the completion of Phase 1b enrollment and not proceed with Phase 2. Trial termination was not due to patient safety or data concerns.,2022-03-02,safety,PHASE2
NCT02994251,PHASE2,Study terminated due to low enrollment making it unlikely to meet recruitment goals.,2017-06-21,enrollment,PHASE2
NCT04519645,PHASE2,"Study stopped after agreed PIP modification, not linked to safety reasons.",2021-03-31,safety,PHASE2
NCT04167345,PHASE2,at Sponsor's discretion,2020-01-13,unknown,PHASE2
NCT06108739,PHASE3,DSMB recommended halting the study owing to futility after the first interim analysis in August 2024.,2023-11-01,unknown,PHASE3
NCT04141995,PHASE2,Due to low accrual and futility,2021-02-12,unknown,PHASE2
NCT04136912,PHASE2,Grant ended,2022-05-26,unknown,PHASE2
NCT02160288,PHASE2,Low recruitment,Feb-16,enrollment,PHASE2
NCT04579666,PHASE2,"The study did not meet primary endpoint at Week 52. The study also did not meet key secondary efficacy endpoints. Pegcetacoplan (APL-2) was well tolerated in the study, and the data were consistent with the established safety profile.",2020-09-30,efficacy,PHASE2
NCT05555251,"PHASE1, PHASE2","After the completion of phase IA, for business reasons it was decided to terminate the study.",2022-07-28,strategy/business,PHASE2
NCT03193437,PHASE2,Slow Accrual,2018-04-03,unknown,PHASE2
NCT05048056,PHASE2,Clinical study and development strategy adjustment,2021-09-30,strategy/business,PHASE2
NCT04190056,PHASE2,Change in practice patterns,2021-03-11,unknown,PHASE2
NCT02563522,PHASE3,Low enrollment,2017-06-27,enrollment,PHASE3
NCT04540120,PHASE2,Terminated due to the treatment environment for COVID-19 evolving with the pervasiveness of vaccinations and other therapeutic modalities in mitigating against severe infection that has eliminated a viable patient population for study enrollment.,2020-09-24,enrollment,PHASE2
NCT02225561,PHASE3,Discontinuation of the experimental treatment being tested,2015-01-02,unknown,PHASE3
NCT03600805,PHASE3,Protracted recruitment timeline exacerbated by COVID-19 pandemic,2018-11-20,enrollment,PHASE3
NCT03079505,PHASE3,Protocol Deviation,2017-08-03,operational,PHASE3
NCT05281094,"PHASE2, PHASE3",Lack of efficacy,2022-04-28,efficacy,PHASE3
NCT01739556,PHASE3,"An interim analysis showed that there is no difference in the primary endpoint, given the small number of events in the groups examined.",Jun-15,unknown,PHASE3
NCT05330429,PHASE2,Sponsor decision to terminate study,2022-07-08,strategy/business,PHASE2
NCT02657369,PHASE2,Overall response rate was 3% (only 1 out of 33 participants had confirmed PR).,2016-07-07,unknown,PHASE2
NCT03138083,"PHASE1, PHASE2",strategic reasons (not due to lack of efficacy or safety issues),2017-08-08,efficacy,PHASE2
NCT05732454,"PHASE2, PHASE3","Per the results of the planned interim analysis, the study met futility criteria for efficacy so the trial was terminated. This decision was made for efficacy reasons only and is not due to any safety concerns.",2023-01-18,efficacy,PHASE3
NCT02901431,PHASE2,The 24-week analysis indicated no clinical or statistical benefit for the primary endpoint for the overall study population. No new safety concerns identified.,2016-11-21,safety,PHASE2
NCT05176080,"PHASE1, PHASE2",Investigators' decision,2021-12-08,unknown,PHASE2
NCT03383146,PHASE3,The Relamorelin program is being terminated solely based on a business decision.,2018-02-01,strategy/business,PHASE3
NCT04042727,"PHASE2, PHASE3","Futility, as a result of COVID-19 impact",2019-08-21,unknown,PHASE3
NCT04560686,PHASE2,Per PI Request,2020-08-05,unknown,PHASE2
NCT05643170,PHASE3,Company's business decision.,2022-11-08,strategy/business,PHASE3
NCT03615105,PHASE2,Low accrual,2018-07-25,unknown,PHASE2
NCT02773966,PHASE3,Slow recruitment,2017-11-12,enrollment,PHASE3
NCT06986031,PHASE2,"The trial was teriminated early due to low subject recruitment and high screening failure rates, despite several protocol modifications.",2017-05-08,enrollment,PHASE2
NCT05172570,PHASE3,Study terminated to to shortage if study supplies for epidurals and most enrolled has study deviations due to not receiving correct post study drug assignments.,2021-04-06,enrollment,PHASE3
NCT04750941,PHASE2,Enrollment challenges,2022-02-10,enrollment,PHASE2
NCT02550054,PHASE2,"The study was concluded as planned upon reaching its predetermined endpoint, which included the completion of data collection and achievement of the necessary sample size for statistical significance.",2015-09-08,unknown,PHASE2
NCT05008445,"PHASE1, PHASE2",company adjusted strategy,2021-10-06,strategy/business,PHASE2
NCT02230930,PHASE2,Delayed inclusion - stopped when 10 patients completed the study,Jun-15,enrollment,PHASE2
NCT03052400,PHASE2,End of Funding,2017-02-03,unknown,PHASE2
NCT02892500,PHASE2,Inability to enroll subjects,Apr-16,enrollment,PHASE2
NCT02719405,PHASE2,Insufficient enrollment,Feb-16,enrollment,PHASE2
NCT03423537,PHASE3,"Inability for further recruitment, change of position of the principal investigator, COVID-19 pandemic",2018-06-01,enrollment,PHASE3
NCT03917719,PHASE3,"The Phase 3 PolarisDMD trial did not meet the primary endpoint. As a result, activities related to the development of edasalonexent have stopped including the CAT-1004-302 Open-Label Study of Edasalonexent in Boys With Duchenne Muscular Dystrophy",2019-03-14,unknown,PHASE3
NCT04006119,PHASE2,Sponsor Decision,2019-08-01,strategy/business,PHASE2
